MAT_GRP,MAT_GRP_DESC,ds,is_synthetic,y,receipt_qty,inv_qty,n_active_materials
151,KILNS,2023-11-30,1,32.0,42.0,10.0,1
151,KILNS,2023-12-31,1,42.0,27.0,0.0,1
151,KILNS,2024-01-31,1,37.0,33.0,0.0,1
151,KILNS,2024-02-29,1,40.0,45.0,5.0,1
151,KILNS,2024-03-31,1,43.0,38.0,0.0,1
151,KILNS,2024-04-30,1,42.0,38.0,0.0,1
151,KILNS,2024-05-31,1,44.0,35.0,0.0,1
151,KILNS,2024-06-30,1,50.0,36.0,0.0,1
151,KILNS,2024-07-31,1,31.0,41.0,10.0,1
151,KILNS,2024-08-31,1,36.0,60.0,34.0,1
151,KILNS,2024-09-30,1,31.0,25.0,28.0,1
151,KILNS,2024-10-31,1,32.0,44.0,40.0,1
151,KILNS,2024-11-30,1,33.0,25.0,32.0,1
151,KILNS,2024-12-31,1,34.0,29.0,27.0,1
151,KILNS,2025-01-31,1,44.0,44.0,27.0,1
151,KILNS,2025-02-28,1,35.0,43.0,35.0,1
151,KILNS,2025-03-31,1,47.0,58.0,46.0,1
151,KILNS,2025-04-30,1,44.0,34.0,36.0,1
151,KILNS,2025-05-31,1,43.0,62.0,55.0,1
151,KILNS,2025-06-30,1,33.0,50.0,72.0,1
151,KILNS,2025-07-31,1,33.0,51.0,90.0,1
151,KILNS,2025-08-31,1,29.0,35.0,96.0,1
151,KILNS,2025-09-30,0,38.0,16.0,54.0,1
151,KILNS,2025-10-31,0,38.0,16.0,16.0,1
201,COBPP EQPT & SPRS,2023-11-30,1,360.0,330.0,40.0,17
201,COBPP EQPT & SPRS,2023-12-31,1,352.0,412.0,101.0,17
201,COBPP EQPT & SPRS,2024-01-31,1,353.0,412.0,190.0,17
201,COBPP EQPT & SPRS,2024-02-29,1,422.0,331.0,108.0,17
201,COBPP EQPT & SPRS,2024-03-31,1,371.0,441.0,178.0,17
201,COBPP EQPT & SPRS,2024-04-30,1,399.0,422.0,202.0,17
201,COBPP EQPT & SPRS,2024-05-31,1,374.0,446.0,275.0,17
201,COBPP EQPT & SPRS,2024-06-30,1,350.0,428.0,353.0,17
201,COBPP EQPT & SPRS,2024-07-31,1,302.0,339.0,399.0,17
201,COBPP EQPT & SPRS,2024-08-31,1,300.0,312.0,411.0,17
201,COBPP EQPT & SPRS,2024-09-30,1,261.0,380.0,530.0,17
201,COBPP EQPT & SPRS,2024-10-31,1,289.0,284.0,525.0,17
201,COBPP EQPT & SPRS,2024-11-30,1,292.0,291.0,524.0,17
201,COBPP EQPT & SPRS,2024-12-31,1,338.0,343.0,529.0,17
201,COBPP EQPT & SPRS,2025-01-31,1,305.0,333.0,557.0,17
201,COBPP EQPT & SPRS,2025-02-28,1,394.0,341.0,504.0,17
201,COBPP EQPT & SPRS,2025-03-31,1,354.0,481.0,631.0,17
201,COBPP EQPT & SPRS,2025-04-30,1,359.0,491.0,763.0,17
201,COBPP EQPT & SPRS,2025-05-31,1,373.0,388.0,778.0,17
201,COBPP EQPT & SPRS,2025-06-30,1,368.0,356.0,766.0,17
201,COBPP EQPT & SPRS,2025-07-31,1,332.0,377.0,811.0,17
201,COBPP EQPT & SPRS,2025-08-31,1,302.0,321.0,830.0,17
201,COBPP EQPT & SPRS,2025-09-30,0,329.0,329.0,358.0,17
201,COBPP EQPT & SPRS,2025-10-31,0,329.0,329.0,66.0,17
202,SP EQPT & SPRS,2023-11-30,1,2460.0,2471.0,74.0,7
202,SP EQPT & SPRS,2023-12-31,1,2726.0,2768.0,159.0,7
202,SP EQPT & SPRS,2024-01-31,1,2551.0,2481.0,137.0,7
202,SP EQPT & SPRS,2024-02-29,1,2580.0,2714.0,458.0,7
202,SP EQPT & SPRS,2024-03-31,1,2840.0,2699.0,596.0,7
202,SP EQPT & SPRS,2024-04-30,1,2291.0,3420.0,1732.0,7
202,SP EQPT & SPRS,2024-05-31,1,2893.0,2462.0,1301.0,7
202,SP EQPT & SPRS,2024-06-30,1,2582.0,2863.0,1589.0,7
202,SP EQPT & SPRS,2024-07-31,1,2429.0,2750.0,1910.0,7
202,SP EQPT & SPRS,2024-08-31,1,2933.0,3040.0,2017.0,7
202,SP EQPT & SPRS,2024-09-30,1,2654.0,3166.0,2529.0,7
202,SP EQPT & SPRS,2024-10-31,1,2647.0,2721.0,2603.0,7
202,SP EQPT & SPRS,2024-11-30,1,2600.0,2782.0,2785.0,7
202,SP EQPT & SPRS,2024-12-31,1,2703.0,2729.0,2811.0,7
202,SP EQPT & SPRS,2025-01-31,1,2677.0,2958.0,3092.0,7
202,SP EQPT & SPRS,2025-02-28,1,2731.0,3178.0,3539.0,7
202,SP EQPT & SPRS,2025-03-31,1,2336.0,2759.0,3962.0,7
202,SP EQPT & SPRS,2025-04-30,1,2203.0,2678.0,4437.0,7
202,SP EQPT & SPRS,2025-05-31,1,2479.0,2121.0,4079.0,7
202,SP EQPT & SPRS,2025-06-30,1,2532.0,2846.0,4393.0,7
202,SP EQPT & SPRS,2025-07-31,1,2880.0,2634.0,4147.0,7
202,SP EQPT & SPRS,2025-08-31,1,2678.0,2686.0,4155.0,7
202,SP EQPT & SPRS,2025-09-30,0,2630.0,2630.0,618.0,7
202,SP EQPT & SPRS,2025-10-31,0,2630.0,2630.0,0.0,7
203,BF EQPT & SPRS,2023-11-30,1,2536.0,2605.0,9090.0,20
203,BF EQPT & SPRS,2023-12-31,1,2191.0,2568.0,9499.0,20
203,BF EQPT & SPRS,2024-01-31,1,2493.0,2499.0,9629.0,20
203,BF EQPT & SPRS,2024-02-29,1,1947.0,2213.0,9897.0,20
203,BF EQPT & SPRS,2024-03-31,1,2184.0,2449.0,10162.0,20
203,BF EQPT & SPRS,2024-04-30,1,1895.0,2384.0,10651.0,20
203,BF EQPT & SPRS,2024-05-31,1,2027.0,2187.0,10811.0,20
203,BF EQPT & SPRS,2024-06-30,1,2010.0,2186.0,10999.0,20
203,BF EQPT & SPRS,2024-07-31,1,2038.0,2218.0,11179.0,20
203,BF EQPT & SPRS,2024-08-31,1,2038.0,2329.0,11470.0,20
203,BF EQPT & SPRS,2024-09-30,1,2216.0,2286.0,11540.0,20
203,BF EQPT & SPRS,2024-10-31,1,2338.0,2366.0,11568.0,20
203,BF EQPT & SPRS,2024-11-30,1,2359.0,2280.0,11489.0,20
203,BF EQPT & SPRS,2024-12-31,1,2328.0,2660.0,11821.0,20
203,BF EQPT & SPRS,2025-01-31,1,2332.0,2808.0,12297.0,20
203,BF EQPT & SPRS,2025-02-28,1,2254.0,2740.0,12783.0,20
203,BF EQPT & SPRS,2025-03-31,1,2110.0,2741.0,13414.0,20
203,BF EQPT & SPRS,2025-04-30,1,2171.0,2301.0,13544.0,20
203,BF EQPT & SPRS,2025-05-31,1,2011.0,2510.0,14043.0,20
203,BF EQPT & SPRS,2025-06-30,1,1853.0,2429.0,14619.0,20
203,BF EQPT & SPRS,2025-07-31,1,2210.0,2074.0,14483.0,20
203,BF EQPT & SPRS,2025-08-31,1,1948.0,1953.0,14488.0,20
203,BF EQPT & SPRS,2025-09-30,0,2157.0,2784.0,13537.0,20
203,BF EQPT & SPRS,2025-10-31,0,2157.0,2784.0,12320.0,20
204,SMS EQPT & SPRS,2023-11-30,1,14.0,15.0,11.0,3
204,SMS EQPT & SPRS,2023-12-31,1,14.0,14.0,11.0,3
204,SMS EQPT & SPRS,2024-01-31,1,17.0,15.0,9.0,3
204,SMS EQPT & SPRS,2024-02-29,1,15.0,15.0,9.0,3
204,SMS EQPT & SPRS,2024-03-31,1,15.0,13.0,7.0,3
204,SMS EQPT & SPRS,2024-04-30,1,20.0,13.0,2.0,3
204,SMS EQPT & SPRS,2024-05-31,1,16.0,19.0,5.0,3
204,SMS EQPT & SPRS,2024-06-30,1,22.0,15.0,2.0,3
204,SMS EQPT & SPRS,2024-07-31,1,22.0,26.0,6.0,3
204,SMS EQPT & SPRS,2024-08-31,1,16.0,21.0,11.0,3
204,SMS EQPT & SPRS,2024-09-30,1,17.0,19.0,13.0,3
204,SMS EQPT & SPRS,2024-10-31,1,15.0,17.0,15.0,3
204,SMS EQPT & SPRS,2024-11-30,1,21.0,16.0,10.0,3
204,SMS EQPT & SPRS,2024-12-31,1,18.0,27.0,19.0,3
204,SMS EQPT & SPRS,2025-01-31,1,17.0,19.0,21.0,3
204,SMS EQPT & SPRS,2025-02-28,1,20.0,14.0,15.0,3
204,SMS EQPT & SPRS,2025-03-31,1,19.0,20.0,16.0,3
204,SMS EQPT & SPRS,2025-04-30,1,20.0,18.0,14.0,3
204,SMS EQPT & SPRS,2025-05-31,1,20.0,18.0,12.0,3
204,SMS EQPT & SPRS,2025-06-30,1,24.0,20.0,8.0,3
204,SMS EQPT & SPRS,2025-07-31,1,21.0,27.0,14.0,3
204,SMS EQPT & SPRS,2025-08-31,1,18.0,27.0,23.0,3
204,SMS EQPT & SPRS,2025-09-30,0,17.0,17.0,17.0,3
204,SMS EQPT & SPRS,2025-10-31,0,17.0,17.0,0.0,3
205,CCS EQPT & SPRS,2023-11-30,1,375.0,433.0,451.0,20
205,CCS EQPT & SPRS,2023-12-31,1,354.0,446.0,543.0,20
205,CCS EQPT & SPRS,2024-01-31,1,345.0,390.0,588.0,20
205,CCS EQPT & SPRS,2024-02-29,1,335.0,390.0,643.0,20
205,CCS EQPT & SPRS,2024-03-31,1,308.0,380.0,715.0,20
205,CCS EQPT & SPRS,2024-04-30,1,324.0,336.0,727.0,20
205,CCS EQPT & SPRS,2024-05-31,1,345.0,360.0,746.0,20
205,CCS EQPT & SPRS,2024-06-30,1,325.0,337.0,758.0,20
205,CCS EQPT & SPRS,2024-07-31,1,377.0,374.0,755.0,20
205,CCS EQPT & SPRS,2024-08-31,1,346.0,438.0,847.0,20
205,CCS EQPT & SPRS,2024-09-30,1,359.0,377.0,865.0,20
205,CCS EQPT & SPRS,2024-10-31,1,352.0,388.0,903.0,20
205,CCS EQPT & SPRS,2024-11-30,1,347.0,376.0,932.0,20
205,CCS EQPT & SPRS,2024-12-31,1,349.0,361.0,944.0,20
205,CCS EQPT & SPRS,2025-01-31,1,327.0,380.0,997.0,20
205,CCS EQPT & SPRS,2025-02-28,1,363.0,325.0,960.0,20
205,CCS EQPT & SPRS,2025-03-31,1,333.0,392.0,1019.0,20
205,CCS EQPT & SPRS,2025-04-30,1,336.0,368.0,1052.0,20
205,CCS EQPT & SPRS,2025-05-31,1,361.0,313.0,1004.0,20
205,CCS EQPT & SPRS,2025-06-30,1,347.0,397.0,1054.0,20
205,CCS EQPT & SPRS,2025-07-31,1,352.0,384.0,1086.0,20
205,CCS EQPT & SPRS,2025-08-31,1,355.0,401.0,1132.0,20
205,CCS EQPT & SPRS,2025-09-30,0,341.0,341.0,745.0,20
205,CCS EQPT & SPRS,2025-10-31,0,341.0,341.0,482.0,20
208,RSM EQPT & SPRS,2023-11-30,1,1165.0,1156.0,41.0,20
208,RSM EQPT & SPRS,2023-12-31,1,1417.0,1185.0,130.0,20
208,RSM EQPT & SPRS,2024-01-31,1,1458.0,1362.0,215.0,20
208,RSM EQPT & SPRS,2024-02-29,1,1378.0,1615.0,486.0,20
208,RSM EQPT & SPRS,2024-03-31,1,1503.0,1613.0,596.0,20
208,RSM EQPT & SPRS,2024-04-30,1,1316.0,1736.0,1016.0,20
208,RSM EQPT & SPRS,2024-05-31,1,1428.0,1669.0,1281.0,20
208,RSM EQPT & SPRS,2024-06-30,1,1099.0,1429.0,1611.0,20
208,RSM EQPT & SPRS,2024-07-31,1,1151.0,1568.0,2040.0,20
208,RSM EQPT & SPRS,2024-08-31,1,1045.0,1118.0,2113.0,20
208,RSM EQPT & SPRS,2024-09-30,1,1194.0,1306.0,2225.0,20
208,RSM EQPT & SPRS,2024-10-31,1,1345.0,1069.0,1949.0,20
208,RSM EQPT & SPRS,2024-11-30,1,1549.0,1208.0,1632.0,20
208,RSM EQPT & SPRS,2024-12-31,1,1361.0,1575.0,1846.0,20
208,RSM EQPT & SPRS,2025-01-31,1,1401.0,1948.0,2393.0,20
208,RSM EQPT & SPRS,2025-02-28,1,1463.0,1475.0,2405.0,20
208,RSM EQPT & SPRS,2025-03-31,1,1691.0,1617.0,2331.0,20
208,RSM EQPT & SPRS,2025-04-30,1,1284.0,1509.0,2556.0,20
208,RSM EQPT & SPRS,2025-05-31,1,1291.0,2186.0,3451.0,20
208,RSM EQPT & SPRS,2025-06-30,1,1275.0,1382.0,3558.0,20
208,RSM EQPT & SPRS,2025-07-31,1,1116.0,1553.0,3995.0,20
208,RSM EQPT & SPRS,2025-08-31,1,1303.0,1243.0,3935.0,20
208,RSM EQPT & SPRS,2025-09-30,0,1313.0,1213.0,291.0,20
208,RSM EQPT & SPRS,2025-10-31,0,1313.0,1213.0,0.0,20
209,MER. MILL EQPT&SPRS,2023-11-30,1,941.0,1171.0,230.0,5
209,MER. MILL EQPT&SPRS,2023-12-31,1,902.0,1164.0,501.0,5
209,MER. MILL EQPT&SPRS,2024-01-31,1,1004.0,944.0,462.0,5
209,MER. MILL EQPT&SPRS,2024-02-29,1,934.0,965.0,511.0,5
209,MER. MILL EQPT&SPRS,2024-03-31,1,776.0,1165.0,900.0,5
209,MER. MILL EQPT&SPRS,2024-04-30,1,883.0,1028.0,1045.0,5
209,MER. MILL EQPT&SPRS,2024-05-31,1,930.0,811.0,926.0,5
209,MER. MILL EQPT&SPRS,2024-06-30,1,897.0,1080.0,1109.0,5
209,MER. MILL EQPT&SPRS,2024-07-31,1,763.0,933.0,1279.0,5
209,MER. MILL EQPT&SPRS,2024-08-31,1,747.0,1086.0,1618.0,5
